company,title,location,regions,salary_min,salary_max
jpmorganchase,vp-rm&c cdo,"bangalore, karnataka","india, karnataka, bangalore",,
arena investors i quaestor advisors,asset management - vp/avp,"bangalore, karnataka","india, karnataka, bangalore",,
mufg global service ,vp legal & company secretary,"bangalore, karnataka","india, karnataka, bangalore",,
mufg global service ,vp-business analyst sme,"bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"senior java engineer, vp",india,india,,
deutsche bank,"pmo & change manager, vp",india,india,,
whitecrow,"vp, senior audit manager","hyderabad, telangana","india, telangana, hyderabad",,
barclays,assistant vp - global markets,"mumbai, maharashtra","india, maharashtra, mumbai",,
jp morgan,lead credit officer -vp,"mumbai, maharashtra","india, maharashtra, mumbai",,
barclays,assistant vp - global markets,"pune, maharashtra","india, maharashtra, pune",,
jpmorganchase,wholesale credit grading -vp,"mumbai, maharashtra","india, maharashtra, mumbai",,
bnp paribas,vp - financial accounting and reporting,"mumbai, maharashtra","india, maharashtra, mumbai",,
nameless,python software engineer vp,india,india,,
whitecrow,"vp, iam assurance leader","hyderabad, telangana","india, telangana, hyderabad",,
kaapro management solutions,vp/ gm corporate security,"surat, gujarat","india, gujarat, surat",,
acura solution,vp analytics and data science,"bangalore, karnataka","india, karnataka, bangalore",,
tableau software,"vp, software engineering, industries","bangalore, karnataka","india, karnataka, bangalore",,
recex,head of supply chain-vp,"bhopal, madhya pradesh","india, madhya pradesh, bhopal",,
vinayak outsourcing works,vp / head - power plant,"raipur, chhattisgarh","india, chhattisgarh, raipur",,
vinayak outsourcing works,vp finance & commercial - raigarh,"raigarh, chhattisgarh","india, chhattisgarh, raigarh",,
talent leads consultants,"head (vp/ sr vp)- private equity and business development group, mumbai","mumbai, maharashtra","india, maharashtra, mumbai",,
sago,avp/ vp- project management operations,india,india,,
vinayak outsourcing works,gm / vp - pipe plant - raipur,india,india,,
snaphyr,vp â enterprise business development,india,india,2000000.0,7000000.0
nomura,fin_cst mgmt & analytics_vp,"mumbai, maharashtra","india, maharashtra, mumbai",,
quick turtle,vp/ avp / bm nri desk,"thiruvananthapuram, kerala","india, kerala, thiruvananthapuram",,
quick turtle,vp/ avp / bm nri desk,"kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,vp/ avp / bm nri desk,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,vp/ avp / bm nri desk,"vadodara, gujarat","india, gujarat, vadodara",,
sks enterpprises,vp engineering / cto / director of engineering,india,india,,
deutsche bank,"fic issuance rates & credit, vp","pune, maharashtra","india, maharashtra, pune",,
quick turtle,vp/ avp/ relationship manager - pcg,"vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,vp/ avp/ relationship manager - pcg,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,vp/ avp/ relationship manager - pcg,"jaipur, rajasthan","india, rajasthan, jaipur",,
quick turtle,vp/ avp/ relationship manager - pcg,"kolkata, west bengal","india, west bengal, kolkata",,
unnati,vp (it technology- web site),"delhi, india","india, delhi",1200000.0,1500000.0
quick turtle,"vp / avp / manager , pcg advisory","pune, maharashtra","india, maharashtra, pune",,
quick turtle,"vp / avp / manager , pcg advisory","kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,"vp / avp / manager , pcg advisory","vadodara, gujarat","india, gujarat, vadodara",,
quick turtle,"vp / avp / manager , pcg advisory","ahmedabad, gujarat","india, gujarat, ahmedabad",,
unnati,vp- channel sales (business correspondents),"delhi, india","india, delhi",1200000.0,1500000.0
unnati,software engineer vp front end,"delhi, india","india, delhi",1200000.0,3000000.0
barclays,senior java software engineer -vp,india,india,,
tripoto,vp engineering/cto - microservices architecture,"delhi, india","india, delhi",4000000.0,6000000.0
deutsche bank,"mainframe platform technology specialist, vp",india,india,,
innefu labs pvt,vp - engineering/technical product head,"delhi, india","india, delhi",1500000.0,3000000.0
deutsche bank,"technology operations lead - mainframe, vp",india,india,,
deutsche bank,"senior java engineer eis, vp",india,india,,
deutsche bank,"engineering lead - data infrastructure, vp",india,india,,
dnv,"vp engineering & managing director, india","chennai, tamil nadu","india, tamil nadu, chennai",,
deutsche bank,"lead engineer – gcp engineer, vp",india,india,,
deutsche bank,"alternative investments technology scrummaster, vp",india,india,,
hsbc,"vp, premier plus relationship manager","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"process optimisation (branch banking) , vp",india,india,,
hsbc,vp premier elite relationship manager,"mumbai, maharashtra","india, maharashtra, mumbai",,
barclays,ifc - lead business analyst-vp,india,india,,
wells fargo,"audit manager, vp - innovation & analytics","hyderabad, telangana","india, telangana, hyderabad",,
mufg global service ,vp - sox first line of control,"bangalore, karnataka","india, karnataka, bangalore",,
hsbc,vp - global indian premier rm,"new delhi, delhi","india, delhi, new delhi",,
blackrock,"vp, ai data engineering lead","richmond town, bangalore","india, karnataka, bangalore, richmond town",,
citigroup,product management senior manager - vp,"chennai, tamil nadu","india, tamil nadu, chennai",,
synchrony financial,vp senior audit manager operations,india,india,,
societe generale maroc,vp private equity venture capital,india,india,,
deutsche bank,"technology operations specialist sre, vp","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"transformation risk and control lead, vp","bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"lead business functional analyst, vp","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"fcrc m&a findings lead, vp","bangalore, karnataka","india, karnataka, bangalore",,
nomura,fin_grp fin cntrl_vp,"mumbai, maharashtra","india, maharashtra, mumbai",,
barclays,"wholesale ifrs9 & irb validation, vp","noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
goldman sachs,vp -software engineering - cloud platform,"bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"it application owner specialist, vp","pune, maharashtra","india, maharashtra, pune",,
black turtle,senior vp talent acquisition head,"pune, maharashtra","india, maharashtra, pune",,
black turtle,senior vp talent acquisition head,"jaipur, rajasthan","india, rajasthan, jaipur",,
deutsche bank,"project & change execution manager, vp","mumbai, maharashtra","india, maharashtra, mumbai",,
deutsche bank,"ict client sales manager, vp","mumbai, maharashtra","india, maharashtra, mumbai",,
quick turtle,svp/vp/ avp/ relationship managers,"pune, maharashtra","india, maharashtra, pune",,
quick turtle,svp/vp/ avp/ relationship managers,"bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"supply chain delivery manager, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,supply chain delivery manager - vp,"gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"software engineer, unix and bpmn, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"sox & sao relationship manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
deutsche bank,"financial and regulatory reporting specialist, vp",india,india,,
expertiz,urgent opening for vp/avp- sales,"delhi, india","india, delhi",,
natwest group,"infrastructure engineer, vp (oracle dba)","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"supply chain delivery manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
talent pro,vp - data architect (b2b saas),"delhi, india","india, delhi",100.0,150.0
peak hire solutions,vp - data architect (b2b saas),"delhi, india","india, delhi",105.0,140.0
sks enterpprises,principal | vp | director - buy side,"mumbai, maharashtra","india, maharashtra, mumbai",,
talent pro,vp â human resources (hr,"hyderabad, telangana","india, telangana, hyderabad",3000000.0,4200000.0
bank,java backend engineer avp vp,india,india,,
quick turtle,svp/vp/ avp/ relationship managers,"jaipur, rajasthan","india, rajasthan, jaipur",,
asterion,vp-wow software engineer avaloq,"bangalore, karnataka","india, karnataka, bangalore",,
citigroup,vp - data science & gen ai,"bangalore, karnataka","india, karnataka, bangalore",,
citigroup,vp- custody tax product manager,"pune, maharashtra","india, maharashtra, pune",,
jefferies financial group,vp-platform reliability engineer(sre),"mumbai, maharashtra","india, maharashtra, mumbai",,
citigroup,apps development sr manager vp,"pune, maharashtra","india, maharashtra, pune",,
alliancebernstein lp,vp/enterprise system management manager,"pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"senior (techno functional) engineer, vp","pune, maharashtra","india, maharashtra, pune",,
vinayak outsourcing works,sr. vp - dri / power (tilda),"tilda, raipur","india, chhattisgarh, raipur, tilda",,
vinayak outsourcing works,gm/vp - power plant (durg),"durg, chhattisgarh","india, chhattisgarh, durg",,
jpmorganchase,vp - wholesale portfolio analytics - grading,"mumbai, maharashtra","india, maharashtra, mumbai",,
deutsche bank,"project & change execution manager, vp",india,india,,
talent leads consultants,avp/ vp digital transformation for mumbai,"mumbai, maharashtra","india, maharashtra, mumbai",,
2070health,vp finance- hiring for our portfolio company,india,india,,
